,open_time,open,high,low,close,volume,close_time,c1,c2,c3,c4,c5
146,1616461200000,54681.39,54875.0,54509.89,54829.99,1202.638725,1616462999999,65791999.07647921,28348,598.246602,32732416.53479378,0.0
147,1616463000000,54829.99,55344.26,54756.69,55120.83,1933.915381,1616464799999,106450310.67946552,34860,1106.553973,60881859.4655529,0.0
148,1616464800000,55120.83,55145.05,54783.73,54811.83,1158.783064,1616466599999,63642942.57180235,26038,650.30527,35710227.27799904,0.0
149,1616466600000,54811.83,55098.18,54438.0,54548.58,1248.352098,1616468399999,68430155.15265018,30804,610.126019,33441390.63090822,0.0
150,1616468400000,54548.58,54707.14,54379.96,54615.71,1034.663845,1616470199999,56460081.55625756,27294,560.813311,30605969.783762,0.0
151,1616470200000,54615.71,54742.3,54407.51,54684.83,833.621561,1616471999999,45463075.68190801,22434,397.260989,21667439.65761383,0.0
152,1616472000000,54683.6,54780.02,54189.89,54231.64,903.900362,1616473799999,49253260.84143857,26308,409.234576,22302784.91537652,0.0
153,1616473800000,54235.72,54600.0,54057.28,54438.64,1021.383801,1616475599999,55482315.07694381,32496,521.502509,28321365.99900746,0.0
154,1616475600000,54435.33,54471.36,53123.0,53349.57,2794.213033,1616477399999,150092269.82083422,71640,1276.295912,68595212.5950849,0.0
155,1616477400000,53349.56,53697.61,53111.66,53532.25,1912.049234,1616479199999,102262681.71470115,50524,819.757726,43830323.76606924,0.0
156,1616479200000,53532.26,53806.65,53000.0,53694.02,2652.026166,1616480999999,141519613.44159853,71208,1210.635075,64647500.66529298,0.0
157,1616481000000,53694.01,53750.0,53200.0,53306.84,1482.546319,1616482799999,79192355.22208874,37010,699.972938,37380126.62089107,0.0
158,1616482800000,53306.84,53821.95,53306.83,53817.06,1229.257078,1616484599999,65876008.29002719,35742,618.495426,33147811.73306978,0.0
159,1616484600000,53818.91,54277.78,53655.01,54161.34,1350.053607,1616486399999,72779844.61022763,37026,762.409747,41110016.95458277,0.0
160,1616486400000,54166.12,54266.27,53821.79,53920.71,1166.106005,1616488199999,63038120.07684735,32927,561.806063,30369453.77106457,0.0
161,1616488200000,53918.66,54482.81,53916.34,54309.24,1161.868582,1616489999999,63110417.89251708,34693,579.46496,31469895.29047265,0.0
162,1616490000000,54309.24,54485.06,54215.24,54313.62,892.965601,1616491799999,48512922.71437147,29552,414.756336,22531900.65714319,0.0
163,1616491800000,54320.32,54698.3,54230.5,54607.86,1023.553436,1616493599999,55752900.57732284,31104,526.085839,28656659.21886179,0.0
164,1616493600000,54602.43,54723.0,54430.52,54474.16,947.508409,1616495399999,51710895.98438881,29622,458.645439,25032599.18858144,0.0
165,1616495400000,54474.16,54865.37,54467.45,54671.06,915.235861,1616497199999,50022494.2166205,26969,450.48948,24624715.09022978,0.0
166,1616497200000,54671.05,54804.98,54540.0,54688.95,731.492546,1616498999999,40005579.23056897,24553,383.708113,20985965.5609443,0.0
167,1616499000000,54688.95,54783.76,54060.79,54249.81,1465.468429,1616500799999,79722946.23598513,41084,723.38743,39344641.14536692,0.0
168,1616500800000,54249.8,55250.0,54234.96,55112.7,1936.556851,1616502599999,106249095.98571716,52551,1066.828563,58514588.98416172,0.0
169,1616502600000,55108.86,55287.52,54915.05,55110.0,999.4507,1616504399999,55026683.27415176,30343,510.115722,28086888.78238921,0.0
170,1616504400000,55110.0,55355.0,55061.17,55271.52,1339.880102,1616506199999,73998830.75754455,38577,600.590963,33168881.79739972,0.0
171,1616506200000,55271.52,55450.0,55020.81,55263.36,1352.843815,1616507999999,74786735.73332901,37545,657.786534,36369261.54127152,0.0
172,1616508000000,55263.35,55367.34,54900.52,54925.92,1126.720471,1616509799999,62171434.00587565,37838,540.661089,29837187.37497049,0.0
173,1616509800000,54917.97,55248.22,54744.86,55184.25,1232.653792,1616511599999,67771120.1783426,36714,646.396584,35540970.04269398,0.0
174,1616511600000,55185.06,55356.31,54919.72,55014.79,900.990211,1616513399999,49669676.12520573,27589,400.219635,22068369.6563782,0.0
175,1616513400000,55020.0,55341.56,55020.0,55165.19,956.132445,1616515199999,52789473.80436414,30816,461.059056,25454938.73342718,0.0
176,1616515200000,55165.2,55720.0,54830.01,55570.13,1566.600747,1616516999999,86582214.45311011,46098,824.283022,45572122.22887963,0.0
177,1616517000000,55571.02,55760.0,55329.93,55548.52,1076.309893,1616518799999,59775968.87283849,30359,521.707388,28971931.68362018,0.0
178,1616518800000,55548.52,55767.01,55524.99,55630.69,1236.26219,1616520599999,68783322.69626895,44041,605.709534,33700535.53929359,0.0
179,1616520600000,55630.7,55734.53,55401.0,55710.87,894.29316,1616522399999,49706715.8606377,32194,445.332028,24753086.62316602,0.0
180,1616522400000,55705.78,55800.0,55510.99,55783.77,934.146868,1616524199999,52002623.56037351,31325,468.80062,26097365.74678184,0.0
181,1616524200000,55781.92,55830.9,55362.18,55364.69,946.372885,1616525999999,52632971.78114349,32804,410.348328,22823563.85196942,0.0
182,1616526000000,55364.68,55541.81,54825.42,54968.84,1562.726529,1616527799999,86282244.83607328,48696,818.085531,45178520.11750264,0.0
183,1616527800000,54968.84,55195.52,54829.39,55008.46,1284.484838,1616529599999,70669046.89989261,37245,640.755407,35249274.3341139,0.0
184,1616529600000,55008.45,55080.16,54696.21,54934.47,1333.375191,1616531399999,73197436.29897197,39573,715.69424,39292984.09913039,0.0
185,1616531400000,54934.47,55012.58,54318.7,54452.6,1619.50603,1616533199999,88519390.05742244,50592,833.53741,45561937.52372138,0.0
186,1616533200000,54453.3,54568.19,54190.1,54299.99,974.492963,1616534999999,53000937.32218895,34083,516.955026,28120230.40437348,0.0
187,1616535000000,54300.0,54759.56,54237.98,54646.59,841.745327,1616536799999,45890858.04709075,28597,468.240448,25524468.50300784,0.0
188,1616536800000,54646.58,54906.78,54500.0,54728.57,933.738396,1616538599999,51082168.07888297,28647,401.778688,21983679.00379061,0.0
189,1616538600000,54728.58,54887.07,54359.15,54387.91,1047.344498,1616540399999,57210024.20241836,25168,466.419834,25466293.86102223,0.0
190,1616540400000,54387.91,54816.01,54347.83,54704.99,715.612679,1616542199999,39080285.03644765,38806,371.330445,20274030.6604419,0.0
191,1616542200000,54705.0,54763.13,54299.95,54340.89,804.138721,1616543999999,43839004.79606376,40931,380.910825,20764690.45679542,0.0
192,1616544000000,54342.8,54669.35,53756.91,53836.88,1656.102818,1616545799999,89652460.82593381,47458,823.500039,44589329.01664332,0.0
193,1616545800000,53836.88,54129.03,53596.32,53688.07,1222.651447,1616547599999,65898947.39633736,30389,604.73239,32602889.90276739,0.0
194,1616547600000,53691.25,54340.11,53511.39,54313.19,1164.724308,1616549399999,62748023.50434288,29757,577.610072,31122897.91039953,0.0
195,1616549400000,54310.73,54588.0,54036.56,54466.36,904.897165,1616551199999,49152904.66579974,23755,425.420061,23099379.97219316,0.0
196,1616551200000,54466.38,54647.87,54350.0,54534.0,1024.85704,1616552999999,55825176.27741371,25168,394.693697,21496360.35750195,0.0
197,1616553000000,54540.79,54635.16,54385.1,54430.79,731.653966,1616554799999,39874169.80261171,20421,350.879504,19122765.96205661,0.0
198,1616554800000,54430.79,54517.77,54051.35,54476.2,808.519681,1616556599999,43882218.46216348,21546,345.76838,18766535.4642799,0.0
199,1616556600000,54476.19,54769.44,54279.16,54350.54,858.592804,1616558399999,46838264.55755997,22798,371.889484,20289295.44499207,0.0
200,1616558400000,54350.54,54580.0,54200.0,54404.98,671.837196,1616560199999,36554948.19092589,19189,322.663415,17557354.86548374,0.0
201,1616560200000,54404.98,54541.66,53966.89,54122.07,978.553603,1616561999999,53040105.13108824,25774,453.739233,24594816.48698237,0.0
202,1616562000000,54127.12,54142.85,53783.23,54118.73,987.831036,1616563799999,53266362.43267755,42705,481.588162,25969729.1716573,0.0
203,1616563800000,54124.8,54294.82,54000.0,54100.0,1049.930024,1616565599999,56845861.56217288,41407,579.700537,31383172.34766858,0.0
